review_id,subject_drug_name,affected_drug_name,severity_label,risk_level,evidence_level,statin_guardrail_applied,summary,management,evidence_definition,patient_friendly_guidance,baseline_text_source,fkgl_baseline,fkgl_simplified,fkgl_delta,fre_baseline,fre_simplified,fre_delta,reviewer_clinically_accurate,reviewer_grade6_readable,reviewer_notes
1,Amlodipine,Methotrexate,major,"combination should be avoided, consult your GP/physician for a review ",2,False,The metabolism of Methotrexate can be decreased when combined with Amlodipine.,"It is not advisable to administer these drugs concurrently, as adverse effects or toxicity may result from the affected drug, which has a narrow therapeutic index.[A179470,L4497] Refer to each product label for specific recommendations.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Critical Patient Warning: Avoid simultaneous intake of these drugs. Consult your GP or Physician for an immediate review. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,14.3,10.0,-4.3,27.9,48.7,20.8,,,
2,Clarithromycin,Simvastatin,major,"combination should be avoided, consult your GP/physician for a review ",1,True,The serum concentration of Simvastatin can be increased when it is combined with Clarithromycin.,"Coadministration of clarithromycin and simvastatin is contraindicated. Consider holding simvastatin for the duration of clarithromycin therapy or consider switching to an alternate statin that is not metabolized by CYP3A4 enzymes such as rosuvastatin, pravastatin, or fluvastatin.","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Critical Patient Warning: Avoid simultaneous intake of these drugs. Consult your GP or Physician for an immediate review. The statins should be taken at night. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,14.1,10.6,-3.5,28.7,36.3,7.6,,,
3,Clopidogrel,Atorvastatin,major,"combination should be avoided, consult your GP/physician for a review ",2,True,The metabolism of Atorvastatin can be decreased when combined with Clopidogrel.,"The inhibition of the CYP2C8 mediated metabolism of a CYP2C8 substrate administered concurrently with a strong CYP2C8 inhibitor may be so great that the resultant increase in the substrate's serum concentration and/or risk, incidence, or severity of adverse effects may be significant enough to have the interaction considered a contraindication. At the very least the use of two such agents together is strongly cautioned against. The use of alternative, non-interacting therapeutic agents is strongly recommended. Only if the combination therapy is absolutely required and appropriate, dosage adjustments of one or both agents based upon monitoring of patients' clinical response to the therapy should be made as necessary. Consult the manufacturer labeling specific to individual medications for detailed information about their appropriate use.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Critical Patient Warning: Avoid simultaneous intake of these drugs. Consult your GP or Physician for an immediate review. The statins should be taken at night. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,19.8,8.6,-11.2,8.0,55.4,47.4,,,
4,Clopidogrel,Simvastatin,major,"combination should be avoided, consult your GP/physician for a review ",2,True,The metabolism of Simvastatin can be decreased when combined with Clopidogrel.,"The inhibition of the CYP2C8 mediated metabolism of a CYP2C8 substrate administered concurrently with a strong CYP2C8 inhibitor may be so great that the resultant increase in the substrate's serum concentration and/or risk, incidence, or severity of adverse effects may be significant enough to have the interaction considered a contraindication. At the very least the use of two such agents together is strongly cautioned against. The use of alternative, non-interacting therapeutic agents is strongly recommended. Only if the combination therapy is absolutely required and appropriate, dosage adjustments of one or both agents based upon monitoring of patients' clinical response to the therapy should be made as necessary. Consult the manufacturer labeling specific to individual medications for detailed information about their appropriate use.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Critical Patient Warning: Avoid simultaneous intake of these drugs. Consult your GP or Physician for an immediate review. The statins should be taken at night. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,19.8,8.6,-11.2,8.0,55.4,47.4,,,
5,Itraconazole,Rosuvastatin,major,"combination should be avoided, consult your GP/physician for a review ",1,True,The metabolism of Rosuvastatin can be decreased when combined with Itraconazole.,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary. If no alternatives can be found, adjust doses according to instructions on the label and monitor the patient carefully.","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Critical Patient Warning: Avoid simultaneous intake of these drugs. Consult your GP or Physician for an immediate review. The statins should be taken at night. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,14.4,10.6,-3.8,26.5,36.3,9.8,,,
6,Itraconazole,Warfarin,major,"combination should be avoided, consult your GP/physician for a review ",1,False,The metabolism of Warfarin can be decreased when combined with Itraconazole.,"The co-administration of these drugs should be avoided, or undertaken with extreme caution when necessary.[A14980,L4497] Consult appropriate manufacturer labeling.","Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Critical Patient Warning: Avoid simultaneous intake of these drugs. Consult your GP or Physician for an immediate review. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,14.1,12.1,-2.0,29.4,27.0,-2.4,,,
7,Lansoprazole,Sertraline,major,"combination should be avoided, consult your GP/physician for a review ",2,False,The metabolism of Sertraline can be decreased when combined with Lansoprazole.,"Avoid the use of CYP2C19 inhibitors with CYP2C19 substrates when possible. If the concomitant administration is necessary, follow prescribing information guidelines and monitor for signs of toxicity.","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Critical Patient Warning: Avoid simultaneous intake of these drugs. Consult your GP or Physician for an immediate review. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,11.4,10.0,-1.4,41.0,48.7,7.7,,,
8,Olanzapine,Tiotropium,major,"combination should be avoided, consult your GP/physician for a review ",1,False,The risk or severity of adverse effects can be increased when Olanzapine is combined with Tiotropium.,Avoid coadministration of Tiotropium with other antimuscarinic agents.,"Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Critical Patient Warning: Avoid simultaneous intake of these drugs. Consult your GP or Physician for an immediate review. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,16.5,12.1,-4.4,5.5,27.0,21.4,,,
9,Acetaminophen,Semaglutide,moderate,"adjustment should be considered, consult your physician/GP",2,False,The risk or severity of liver damage can be increased when Acetaminophen is combined with Semaglutide.,"Prioritize non-hepatotoxic alternatives where clinically feasible. If concurrent use is unavoidable, consult prescribing information for the subject drugs to determine strategies for mitigation and monitoring (e.g. baseline and periodic liver function testing).","Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. Clinical Validity: Has been confirmed in at least 1 cohort, case-control, or case study and may or may not be mentioned in a drug monograph.",extended_description,22.1,9.1,-13.0,-22.5,52.6,75.1,,,
10,Amitriptyline,Codeine,moderate,"adjustment should be considered, consult your physician/GP",1,False,The risk or severity of adverse effects can be increased when Amitriptyline is combined with Codeine.,Consider reducing the number/dose of anticholinergic agents and opioids used concomitantly to prevent additive effects. Closely monitor the patient and suspend the concomitant treatment if it is clinically warranted. Some combinations may be contraindicated. Consult individual product monographs for detailed dosing guidance/management. Be wary of drugs with anticholinergic effects that are prescribed for other purposes.[A34378],"Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).","Patient Guidance: Clinical adjustment should be considered. Consult your GP or Physician for adjustment. Clinical Validity: Mentioned in the drug monograph (FDA, Health Canada, EMA, etc.) and has been confirmed in clinical studies (cohort, case-control, case study etc.).",extended_description,16.9,11.7,-5.2,-0.6,28.0,28.6,,,
