drugbank_id,name,description,simple_description,half_life,half_life_unit,half_life_unit_mixed,half_life_n_records,half_life_hours,food_interaction_count,food_interactions_text
DB00047,Insulin glargine,"Insulin glargine is a long-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is typically prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis.

Insulin is an important treatment in the management of Type 1 Diabetes (T1D), which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. As a result, people with T1D rely primarily on exogenous forms of insulin, such as insulin glargine, to lower glucose levels in the blood. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Without treatment or improvement in non-pharmacological measures such as diet and exercise to lower blood glucose, high blood sugar eventually causes cellular resistance to endogenous insulin, and in the long term, damage to pancreatic islet cells. Insulin is typically prescribed later in the course of T2D, after several oral medications such as [DB00331], [DB01120], or [DB01261] have been tried, when sufficient damage has been caused to pancreatic cells that the body is no longer able to produce insulin on its own. 

Available as the brand name product Lantus, insulin glargine has a duration of action up to 24 hours allowing for once-daily dosing, typically at bedtime. Due to its duration of action, Lantus is considered ""basal insulin"" as it provides low concentrations of background insulin that can keep blood sugar stable between meals or overnight. Basal insulin is often combined with short-acting ""bolus insulin"" such as [DB00046], [DB01309], and [DB01306] to provide higher doses of insulin that are required following meals. Use of basal and bolus insulin together is intended to mimic the pancreas' production of endogenous insulin, with a goal of avoiding any periods of hypoglycemia. 

Insulin glargine is also available as the biosimilar, or ""follow-on"" product, Basaglar in the US and as Abasaglar in the EU. As of 2015, insulin glargine was reformulated by Sanofi as the product Toujeo in an extra-concentrated form containing 300IU/mL (compared to 100IU/mL contained in Lantus). Use of the higher concentrated Toujeo as compared to Lantus results in slightly different pharmacokinetics, with a later onset (up to 6 hours) and duration of action (up to 30 hours). In 2021, another biosimilar, Semglee (insulin glargine-yfgn),[L34959] became the first interchangeable (with Lantus) biosimilar insulin to receive FDA approval.[L34964]

Insulin glargine is produced by recombinant DNA technology using a non-pathogenic laboratory strain of Escherichia coli (K12) as the production organism. Insulin glargine differs from endogenous human insulin by the replacement of an asparagine residue at position A21 of the A-chain with glycine and addition of two arginines to the C-terminus (positions B31 and 32) of the B-chain. The resulting protein is soluble at pH 4 and forms microprecipitates at physiological pH 7.4 allowing for the slow release of small amounts of insulin glargine, giving the drug a long duration of action and no pronounced peak concentration.

Without an adequate supply of insulin to promote absorption of glucose from the bloodstream, blood sugar levels can climb to dangerously high levels and can result in symptoms such as fatigue, headache, blurred vision, and increased thirst. If left untreated, the body starts to break down fat, instead of glucose, for energy which results in a build-up of ketone acids in the blood and a syndrome called ketoacidosis, which is a life-threatening medical emergency. In the long term, elevated blood sugar levels increase the risk of heart attack, stroke, and diabetic neuropathy.",A medication used to control blood sugars in diabetes.,,,,,,0,
DB00126,Ascorbic acid,"A six carbon compound related to glucose. It is found naturally in citrus fruits and many vegetables. Ascorbic acid is an essential nutrient in human diets, and necessary to maintain connective tissue and bone. Its biologically active form, vitamin C, functions as a reducing agent and coenzyme in several metabolic pathways. Vitamin C is considered an antioxidant.",A nutrient commonly found in a wide variety of multivitamins.,9.7,days,True,2.0,193.7,1,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper."
DB00158,Folic acid,"Folic acid, also known as folate or Vitamin B9, is a member of the B vitamin family and an essential cofactor for enzymes involved in DNA and RNA synthesis. More specifically, folic acid is required by the body for the synthesis of purines, pyrimidines, and methionine before incorporation into DNA or protein. Folic acid is particularly important during phases of rapid cell division, such as infancy, pregnancy, and erythropoiesis, and plays a protective factor in the development of cancer. As humans are unable to synthesize folic acid endogenously, diet and supplementation is necessary to prevent deficiencies. For example, folic acid is present in green vegetables, beans, avocado, and some fruits.[L5744]

In order to function within the body, folic acid must first be reduced by the enzyme dihydrofolate reductase (DHFR) into the cofactors dihydrofolate (DHF) and tetrahydrofolate (THF). This important pathway, which is required for de novo synthesis of nucleic acids and amino acids, is disrupted by anti-metabolite therapies such as [DB00563] as they function as DHFR inhibitors to prevent DNA synthesis in rapidly dividing cells, and therefore prevent the formation of DHF and THF. When used in high doses such as for cancer therapy, or in low doses such as for Rheumatoid Arthritis or psoriasis, [DB00563] impedes the body's ability to create folic acid. This results in a deficiency of coenzymes and a resultant buildup of toxic substances that are responsible for numerous adverse side effects. As a result, supplementation with 1-5mg of folic acid is recommended to prevent deficiency and a number of side effects associated with MTX therapy including mouth ulcers and gastrointestinal irritation. [DB00650] (also known as folinic acid) supplementation is typically used for high-dose MTX regimens for the treatment of cancer. Levoleucovorin and leucovorin are analogs of tetrahydrofolate (THF) and are able to bypass DHFR reduction to act as a cellular replacement for the co-factor THF.

There are also several antiepileptic drugs (AEDs) that are associated with reduced serum and red blood cell folate, including [DB00564] (CBZ), [DB00252] (PHT), or barbiturates.[A37004] Folic acid is therefore often provided as supplementation to individuals using these medications, particularly to women of child-bearing age. 

Inadequate folate levels can result in a number of health concerns including cardiovascular disease, megaloblastic anemias, cognitive deficiencies, and neural tube defects (NTDs). Folic acid is typically supplemented during pregnancy to prevent the development of NTDs and in individuals with alcoholism to prevent the development of neurological disorders, for example.",A nutrient found in many supplements that is used to treat some types of anemia.,,,,,,0,
DB00169,Cholecalciferol,"Vitamin D, in general, is a secosteroid generated in the skin when 7-dehydrocholesterol located there interacts with ultraviolet irradiation - like that commonly found in sunlight [L5689]. Both the endogenous form of vitamin D (that results from 7-dehydrocholesterol transformation), vitamin D3 (cholecalciferol), and the plant-derived form, vitamin D2 (ergocalciferol), are considered the main forms of vitamin d and are found in various types of food for daily intake [L5689]. Structurally, ergocalciferol differs from cholecalciferol in that it possesses a double bond between C22 and C23 and has an additional methyl group at C24 [L5689]. Finally, ergocalciferol is pharmacologically less potent than cholecalciferol, which makes vitamin D3 the preferred agent for medical use [L5689].

Appropriate levels of vitamin D must be upheld in the body in order to maintain calcium and phosphorus levels in a healthy physiologic range to sustain a variety of metabolic functions, transcription regulation, and bone metabolism [A223, L5689, L1782, L5771, F4027, F4042, F4048]. However, studies are also ongoing to determine whether or not cholecalciferol may also play certain roles in cancer, autoimmune disorders, cardiovascular disease, and other medical conditions that may be associated with vitamin D deficiency [L5689].",A medication found in many nutritional supplements and multivitamins that is used to treat conditions related to low vitamin D levels.,50.0,days,False,1.0,1200.0,0,
DB00178,Ramipril,"Ramipril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is metabolized to ramiprilat in the liver and, to a lesser extent, kidneys. Ramiprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Ramipril may be used in the treatment of hypertension, congestive heart failure, nephropathy, and to reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events.",A medication used to lower blood pressure and to reduce the risk of potentially fatal heart complications after a heart attack.,20.2,hours,False,5.0,20.2,2,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia. || Take with or without food. The absorption is unaffected by food.
DB00200,Hydroxocobalamin,"Hydroxocobalamin, also known as vitamin B12a and hydroxycobalamin, is an injectable form of vitamin B 12 that has been used therapeutically to treat vitamin B 12 deficiency. It is also used in cyanide poisoning, Leber's optic atrophy, and toxic amblyopia.",A medication used to treat cyanide poisoning or conditions that affect the levels of vitamin B12.,6.0,days,False,1.0,144.0,0,
DB00215,Citalopram,"Citalopram is an antidepressant belonging to the class of selective _serotonin-reuptake inhibitors_ (SSRIs) widely used to treat the symptoms of depression. It is a racemic bicyclic phthalate derivate and is the only compound with a tertiary amine and 2 nitrogen-containing metabolites among all SSRIs.[A261316,A14720] Citalopram enhances serotonergic transmission through the inhibition of serotonin reuptake, and among all the SSRIs, citalopram appears to be the most selective toward serotonin reuptake inhibition.[A261316,A14720] Specifically, it has a very minimal effect on dopamine and norepinephrine transportation and virtually no affinity for muscarinic, histaminergic, or GABAergic receptors.[A261316]

Citalopram was approved by the FDA in 1998 for the treatment of depression in adults 18 years or older.[L5230]",A medication used to treat depression.,35.0,hours,False,1.0,35.0,3,Avoid alcohol. || Avoid St. John's Wort. Co-administration of St. John's Wort with citalopram can increase the risk of serotonin syndrome. || Take with or without food. The absorption is unaffected by food.
DB00230,Pregabalin,"Pregabalin is structurally similar to gamma-aminobutyric acid (GABA) - an inhibitory neurotransmitter.[A173995] It may be used to manage neuropathic pain, postherpetic neuralgia, and fibromyalgia among other conditions.[A187190] Although as per the FDA Label the mechanism of action has not been definitively characterized, there is evidence that pregabalin exerts its effects by binding to the α2δ subunit of voltage-dependent calcium channels.[A187190,L7066] Pregabalin is marketed by Pfizer under the trade name Lyrica and Lyrica Cr (extended release).[L1006,L7066] It may have dependence liability if misused but the risk appears to be highest in patients with current or past substance use disorders.[A31161]",A medication used to treat a variety of painful conditions caused by nerve damage and fibromyalgia and to treat some types of seizures.,6.3,hours,False,1.0,6.3,2,"Avoid alcohol. Alcohol may increase CNS effects. || Take with or without food. Food alters drug absorption, but not to a clinically significant extent."
DB00254,Doxycycline,Doxycycline is a broad-spectrum antibiotic synthetically derived from [oxytetracycline].[L42880] It is a second-generation tetracycline that was first discovered in 1967.[A19429] Second-generation tetracyclines exhibit lesser toxicity than first-generation tetracyclines.[A174034] Doxycycline is used to treat a wide variety of gram-positive and gram-negative bacterial infections. It is also used to treat acne and malaria.[A251730],An antibiotic used to treat a wide variety of infections in the body.,,,,,,2,"Avoid multivalent ions. The absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium. || Take with or without food. The absorption of tetracyclines is reduced when taken with foods, but not to a significant extent. If gastric irritation occurs, it is recommended that doxycycline be given with food or milk."
DB00295,Morphine,"Morphine, the main alkaloid of opium, was first obtained from poppy seeds in 1805.[A176035] It is a potent analgesic, though its use is limited due to tolerance, withdrawal, and the risk of abuse.[A176050] Morphine is still routinely used today, though there are a number of semi-synthetic opioids of varying strength such as [codeine], [fentanyl], [methadone], [hydrocodone], [hydromorphone], [meperidine], and [oxycodone].

Morphine was granted FDA approval in 1941.[L12114]",A strong painkiller that treats both short and long term pain that is considered moderate to severe.,2.0,hours,False,1.0,2.0,2,"Avoid alcohol. Concomitant use may lead to profound sedation, respiratory depression, coma, and death. || Take with or without food. There is no significant different in the AUC or Cmax of oral extended release tablets when taken with or without food."
DB00301,Flucloxacillin,Antibiotic analog of [cloxacillin].,An antibiotic used to treat infections in the skin and tissues caused by certain types of bacteria.,0.75,hours,False,1.0,0.75,1,Take on an empty stomach.
DB00316,Acetaminophen,"Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124]

Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.[L5783] Confusion about dosing of this drug may be caused by the availability of different formulas, strengths, and dosage instructions for children of different ages.[L5783] Due to the possibility of fatal overdose and liver failure associated with the incorrect use of acetaminophen, it is important to follow current and available national and manufacturer dosing guidelines while this drug is taken or prescribed.[L5786,L5789,L4396]

On September 22, 2025, the US FDA initiated a labeling change for acetaminophen products suggesting that the use of acetaminophen by pregnant women may be associated with an increased risk of neurological conditions such as autism and ADHD in children.[L53926] While the FDA updated labeling to caution about potential risks, large studies,[A274401,A274406,A275418] national and international health authorities,[L53941,L53946,L53951] and professional organizations - including the Society of Obstetricians and Gynaecologists of Canada (SOGC)[L53931] and the American College of Obstetricians and Gynecologists (ACOG)[L53936]- maintain that acetaminophen use in pregnancy remains a first-line therapeutic option when used at the lowest effective dose for the shortest required duration.",A medication used to reduce fever and treat pain.,3.25,hours,False,2.0,3.25,2,Avoid alcohol. Alcohol may increase the risk of hepatotoxicity. || Take with or without food. The absorption is unaffected by food.
DB00318,Codeine,"The relief of pain (analgesia) is a primary goal for enhancing the quality of life of patients and for increasing the ability of patients to engage in day to day activities. Codeine, an opioid analgesic, was originally approved in the US in 1950 and is a drug used to decrease pain by increasing the threshold for pain without impairing consciousness or altering other sensory functions. Opiates such as codeine are derived from the poppy plant, _Papaver somniferum_ (Papaveraceae).[A175096]

Codeine is utilized as a central analgesic, sedative, hypnotic, antinociceptive, and antiperistaltic agent, and is also recommended in certain diseases with incessant coughing.[LABEL,A175096]",A strong painkiller that treats moderate to severe pain when appropriate.,3.0,hours,False,1.0,3.0,2,Avoid alcohol. || Take with food. Food reduces irritation.
DB00321,Amitriptyline,"Amitriptyline is a tricyclic antidepressant that has been used to treat depression for decades. ELAVIL, a previously approved branded product of amitriptyline, was first approved by the FDA in 1961.[A259342] Amitriptyline has been investigated in the treatment of pain-related conditions, attributed to its analgesic properties.[A174661]",A medication used to treat symptoms of depression and anxiety that can be related to depression.,25.0,hours,False,1.0,25.0,4,Avoid alcohol. || Avoid St. John's Wort. || Limit caffeine intake. || Take with food. Food reduces irritation.
DB00331,Metformin,"Metformin is a biguanide antihyperglycemic agent and first-line pharmacotherapy used in the management of type II diabetes.[L12207,A176173] 

Metformin is considered an antihyperglycemic drug because it lowers blood glucose concentrations in type II diabetes without causing hypoglycemia. It is commonly described as an ""insulin sensitizer"", leading to a decrease in insulin resistance and a clinically significant reduction of plasma fasting insulin levels.[A176173] Another well-known benefit of this drug is modest weight loss, making it an effective choice for obese patients type II diabetes.[A36559]

Metformin was first approved in Canada in 1972,[A36552] and received subsequent FDA approval in the US in 1995.[L12207]",A medication used alongside diet and exercise to control blood sugar in patients with type 2 diabetes.,11.9,hours,False,2.0,11.9,2,Avoid alcohol. || Take with food. Food reduces irritation.
DB00334,Olanzapine,"Olanzapine is a thienobenzodiazepine derivative and an atypical or second-generation antipsychotic agent.[A176996] Its chemical structure contains a thieno[2,3-b][1,5]benzodiazepine core, and has a methyl group attached to the piperazine ring. The second-generation antipsychotics were introduced in the 90s and quickly gained traction due to their impressive efficacy, reduced risk for extrapyramidal side effects and reduced susceptibility to drug-drug interactions.[A177011] Olanzapine was discovered by scientists at Eli Lilly and approved to be marketed in the US in 1996.[T548]","A medication used to treat a variety of psychiatric conditions such as bipolar disorder and schizophrenia, as well as agitation that is related to psychiatric conditions.",30.0,hours,False,1.0,30.0,2,Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension. || Take with or without food. The absorption of olanzapine is unaffected by food.
DB00338,Omeprazole,"Originally approved by the FDA in 1989, omeprazole is a _proton-pump inhibitor_, used to treat gastric acid-related disorders. These disorders may include gastroesophageal reflux disease (GERD), peptic ulcer disease, and other diseases characterized by the oversecretion of gastric acid.  This drug was the first clinical useful drug in its class, and its approval was followed by the formulation of many other proton pump inhibitor drugs [A174232]. Omeprazole is generally effective and well-tolerated, promoting its popular use in children and adults [FDA label].","A medication used to improve the symptoms of heartburn, and to treat related conditions such as ulcers, tissue damage and infection with the bacteria called H. pylori.",1.75,hours,False,2.0,1.75,1,Take before a meal. Allow 30-60 minutes before a meal.
DB00341,Cetirizine,"Cetirizine, also commonly known as _Zyrtec_, is an orally active second-generation histamine H1 antagonist proven effective in the treatment of various allergic symptoms, such as sneezing, coughing, nasal congestion, hives, and other symptoms [A175051], [A175054]. 

One of the most common uses for this drug is for a condition called _allergic rhinitis_. The prevalence of allergic rhinitis in the United States is about 15% according to physician diagnoses, and up to 30%, according to self-reported nasal symptoms. Allergic rhinitis is associated with multiple missed or unproductive days at work and school, problems with sleep, and other difficulties with day to day activities for many individuals [A175057]. Furthermore, some antihistamine agents that are used to treat this condition cause undesirable, sedating effects [A175060]. 

Cetirizine is one of the first second-generation H1 antihistamines (SGAHs) formulated to selectively inhibit the H1 receptor without sedating effects [A175054].","A medication used to treat the symptoms of allergies such as runny nose, red and watery eyes, as well as itchiness.",8.3,hours,False,1.0,8.3,2,Avoid alcohol. || Take with or without food. The absorption is unaffected by food.
DB00381,Amlodipine,"Amlodipine, initially approved by the FDA in 1987, is a popular antihypertensive drug belonging to the group of drugs called _dihydropyridine calcium channel blockers_.  Due to their selectivity for the peripheral blood vessels, dihydropyridine calcium channel blockers are associated with a lower incidence of myocardial depression and cardiac conduction abnormalities than other calcium channel blockers [A175327].

Amlodipine is commonly used in the treatment of high blood pressure and angina. Amlodipine has antioxidant properties and an ability to enhance the production of nitric oxide (NO), an important vasodilator that decreases blood pressure [A175321].  The option for single daily dosing of amlodipine is an attractive feature of this drug [FDA label].",A heart medication used to treat high blood pressure and chest pain caused by heart disease.,43.0,hours,False,2.0,43.0,3,Avoid grapefruit products. || Avoid natural licorice. || Take with or without food. The absorption is unaffected by food.
DB00394,Beclomethasone dipropionate,"Beclomethasone dipropionate is a second-generation[A179842] synthetic corticosteroid and diester of beclomethasone, which is structurally similar to [dexamethasone].[L6871] It is a prodrug of an active metabolite beclomethasone 17-monopropionate (17-BMP)[A179839] which acts on the glucocorticoid receptor to mediates its therapeutic action. Beclomethasone dipropionate itself posesses weak glucocorticoid receptor binding affinity and is rapidly converted into 17-BMP upon administration.[A179839] Formulations for oral inhalation, intranasal, and topical use are available for beclomethasone dipropionate. Beclomethasone dipropionate became first available in a pressurized metered-dose inhaler in 1972 and later in a dry powder inhaler and an aqueous nasal spray.[A179839] Due to its anti-inflammatory, antipruritic, and anti-allergy properties, beclomethasone dipropionate is used in various inflammatory conditions, such as asthma, allergic rhinitis, and dermatoses to reduce symptoms. When inhaled, it is proposed that beclomethasone dipropionate remains active locally in the lung without causing significant side effects associated with systemic corticosteroids.[A180010] Compared to earlier corticosteroids such as [dexamethasone] and [prednisolone], beclomethasone dipropionate is reported to be less irritating to the nasal mucosa with a longer duration of action when administered intranasally.[A179848]",An inhaled medication taken over the long term to manage asthma and prevent asthma attacks.,0.5,hours,False,1.0,0.5,0,
DB00417,Phenoxymethylpenicillin,"Phenoxymethylpenicillin is a narrow spectrum antibiotic also commonly referred to as Penicillin V or Penicillin VK.[A178609] It is a phenoxymethyl analog of Penicillin G, or [benzylpenicillin]. An orally active naturally penicillin, phenoxymethylpenicillin is used to treat mild to moderate infections in the respiratory tract, skin, and soft tissues caused by penicillin G­-sensitive microorganisms. Phenoxymethylpenicillin has also be used in some cases as prophylaxis against susceptible organisms. While there have been no controlled clinical efficacy studies that were conducted, phenoxymethylpenicillin has been suggested by the American Heart Association and the American Dental Association for use as an oral regimen for prophylaxis against bacterial endocarditis in patients with congenital heart disease or rheumatic or other acquired valvular heart disease when they undergo dental procedures and surgical procedures of the upper respiratory tract, except for those who are at an elevated risk for endocarditis.[label]","A type of penicillin antibiotic that is used to prevent and treat various skin, respiratory and other infections in the body caused by bacteria.",15.0,hours,True,2.0,0.25,1,Take on an empty stomach. Absorption is increased 1 hour before or 2 hours after food.
DB00436,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)","A medication used to treat body swelling caused by fluid buildup, high blood pressure, and to stop unwanted breast milk production.",8.5,hours,False,1.0,8.5,1,Take with food. Food increases bioavailability.
DB00440,Trimethoprim,"Trimethoprim is an antifolate antibacterial agent that inhibits bacterial dihydrofolate reductase (DHFR), a critical enzyme that catalyzes the formation of tetrahydrofolic acid (THF) - in doing so, it prevents the synthesis of bacterial DNA and ultimately continued bacterial survival.[L11893] Trimethoprim is often used in combination with [sulfamethoxazole] due to their complementary and synergistic mechanisms but may be used as a monotherapy in the treatment and/or prophylaxis of urinary tract infections.[L11893,L11830] It is structurally and chemically related to [pyrimethamine], another antifolate antimicrobial used in the treatment of plasmodial infections.[T707]","An antibiotic used on its own to treat urinary tract infections, or in combination with other antibiotics to treat a variety of eye, lung, and gastrointestinal infections.",8.0,hours,False,1.0,8.0,0,
