subject_drug_drugbank_id,subject_drug_name,affected_drug_drugbank_id,affected_drug_name,summary,extended_description,severity,evidence_level,management
DB00394,Beclomethasone dipropionate,DB01222,Budesonide,The risk or severity of adverse effects can be increased when Beclomethasone dipropionate is combined with Budesonide.,"Immunosuppressive agents may exert an additive effect on other immunosuppressive agents, leading to a greater risk of infection due to bone marrow suppression.[T889]",2,2,"Avoid concomitant use of multiple immunosuppressive agents, unless they are part of a regimen or a combination therapy.[T889] If the use of multiple immunosuppressive agents is necessary, routine monitoring should be conducted to ensure they remain within normal limits.[A257349,A257354] Refer to the individual product labels for more information."
DB06605,Apixaban,DB00682,Warfarin,Apixaban may increase the anticoagulant activities of Warfarin.,"Due to a synergistic effect, concomitant use of apixaban and other anticoagulants may lead to more profound anticoagulant activities of those drugs. As with most anticoagulant drugs, apixaban increases the risk for bleeding and may cause serious, potentially fatal bleeding events. Co-administration of apixaban with other anticoagulants may significantly increase the bleeding potential of anticoagulant agents.",2,1,"Advise patients of signs and symptoms of blood loss and to report them immediately or go to an emergency room in case of bleeding. Avoid administration of apixaban in patients with active pathological bleeding. There is no antidote for apixaban, and while the use of procoagulant reversal agents such as prothrombin complex concentrate, activated prothrombin complex concentrate, or recombinant factor VIIa may be considered, there is limited clinical experience for this approach. Activated oral charcoal reduces absorption of apixaban, thereby lowering apixaban plasma concentration."
DB06605,Apixaban,DB06228,Rivaroxaban,Apixaban may increase the anticoagulant activities of Rivaroxaban.,"Due to a synergistic effect, concomitant use of apixaban and other anticoagulants may lead to more profound anticoagulant activities of those drugs. As with most anticoagulant drugs, apixaban increases the risk for bleeding and may cause serious, potentially fatal bleeding events. Co-administration of apixaban with other anticoagulants may significantly increase the bleeding potential of anticoagulant agents.",2,1,"Advise patients of signs and symptoms of blood loss and to report them immediately or go to an emergency room in case of bleeding. Avoid administration of apixaban in patients with active pathological bleeding. There is no antidote for apixaban, and while the use of procoagulant reversal agents such as prothrombin complex concentrate, activated prothrombin complex concentrate, or recombinant factor VIIa may be considered, there is limited clinical experience for this approach. Activated oral charcoal reduces absorption of apixaban, thereby lowering apixaban plasma concentration."
DB00682,Warfarin,DB06228,Rivaroxaban,Warfarin may increase the anticoagulant activities of Rivaroxaban.,"Concomitant use of rivaroxaban with drugs affecting hemostasis, including other anticoagulants, leads to an additive effect on anti-factor Xa activity of ribaroxavan and increases the risk of bleeding.",2,1,Avoid concurrent use of rivaroxaban with other anticoagulants. Promptly evaluate signs and symptoms of blood loss.
DB06655,Liraglutide,DB00047,Insulin glargine,Liraglutide may increase the hypoglycemic activities of Insulin glargine.,"When used for the purpose of improving glycemic control in adults with type 2 diabetes mellitus, liraglutide functions as a glucagon-like peptide-1 receptor agonist that stimulates endogenous insulin secretion [FDA Label]. If used concomitantly with insulin, there is the possibility that the additive combination of these two medications' blood glucose lowering effects could increase the risk of developing hypoglycemia in patients [FDA Label].",1,1,"If liraglutide is used for the treatment of diabetes (Victoza), consider insulin dose reductions. The combination of liraglutide and insulin should be avoided if liraglutide is used exclusively for weight loss (Saxenda)."
DB06655,Liraglutide,DB01306,Insulin aspart,Liraglutide may increase the hypoglycemic activities of Insulin aspart.,"When used for the purpose of improving glycemic control in adults with type 2 diabetes mellitus, liraglutide functions as a glucagon-like peptide-1 receptor agonist that stimulates endogenous insulin secretion [FDA Label]. If used concomitantly with insulin, there is the possibility that the additive combination of these two medications' blood glucose lowering effects could increase the risk of developing hypoglycemia in patients [FDA Label].",1,1,"If liraglutide is used for the treatment of diabetes (Victoza), consider insulin dose reductions. The combination of liraglutide and insulin should be avoided if liraglutide is used exclusively for weight loss (Saxenda)."
DB00758,Clopidogrel,DB06605,Apixaban,The risk or severity of adverse effects can be increased when Clopidogrel is combined with Apixaban.,"Coadministration of antiplatelet agents with apixaban increases the risk of bleeding, according to apixaban prescribing information.[L4098,F200] This is likely due to additive effects on hemostasis caused by both agents.[A33624,L6943]",1,1,"Carefully consider risks and benefits of this combination and monitor closely for bleeding if this combination is administered. Discontinue therapy as required in cases of bleeding. Patients should be advised of this bleeding risk and seek immediate medical attention if bleeding occurs.[L4098] Following surgery, other platelet aggregation inhibitors are not recommended with apixaban. In addition, ticagrelor and prasugrel are not recommended to be used with apixaban.[L7393]"
DB00945,Acetylsalicylic acid,DB06605,Apixaban,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Apixaban.,"Coadministration of antiplatelet agents with apixaban increases the risk of bleeding, according to apixaban prescribing information.[L4098,F200] This is likely due to additive effects on hemostasis caused by both agents.[A33624,L6943]",1,1,"Carefully consider risks and benefits of this combination and monitor closely for bleeding if this combination is administered. Discontinue therapy as required in cases of bleeding. Patients should be advised of this bleeding risk and seek immediate medical attention if bleeding occurs.[L4098] Following surgery, other platelet aggregation inhibitors are not recommended with apixaban. In addition, ticagrelor and prasugrel are not recommended to be used with apixaban.[L7393]"
DB00758,Clopidogrel,DB06228,Rivaroxaban,Clopidogrel may increase the anticoagulant activities of Rivaroxaban.,"Antiplatelet agents are known to increase the risk of bleeding, exerting an additive effect on the bleeding risk of rivaroxaban. This drug, when used alone, may cause serious and fatal bleeding. Rivaroxaban may increase the risk of spinal/subdural hematoma with concomitant use of other drugs that affect hemostasis, such as non-steroidal anti-inflammatory drugs (NSAIDs), platelet inhibitors, other anticoagulants.",1,1,"Carefully consider risks and benefits of this combination and monitor closely; Canadian labeling recommends avoiding prasugrel or ticagrelor. Monitor patients frequently for signs and symptoms of neurological impairment due to spinal/subdural hematoma. Promptly evaluate signs and symptoms of blood loss. If neurological compromise is noted, urgent treatment is necessary."
DB00945,Acetylsalicylic acid,DB06228,Rivaroxaban,Acetylsalicylic acid may increase the anticoagulant activities of Rivaroxaban.,"Antiplatelet agents are known to increase the risk of bleeding, exerting an additive effect on the bleeding risk of rivaroxaban. This drug, when used alone, may cause serious and fatal bleeding. Rivaroxaban may increase the risk of spinal/subdural hematoma with concomitant use of other drugs that affect hemostasis, such as non-steroidal anti-inflammatory drugs (NSAIDs), platelet inhibitors, other anticoagulants.",1,1,"Carefully consider risks and benefits of this combination and monitor closely; Canadian labeling recommends avoiding prasugrel or ticagrelor. Monitor patients frequently for signs and symptoms of neurological impairment due to spinal/subdural hematoma. Promptly evaluate signs and symptoms of blood loss. If neurological compromise is noted, urgent treatment is necessary."
